state,state_fips_code,year,trade_school_check,Level and degree/certificate-seeking status of student,Undergraduate or graduate level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women,Gender unknown,Another gender,Total of gender unknown and  another gender,Total gender reported as one of the mutually exclusive binary categories (Men/Women)
Alabama,AL,2024,False,Undergraduate total,Undergraduate,198029,88515,109514,876,413,463,4452,2046,2406,47883,17740,30143,9290,3984,5306,296,150,146,115773,54196,61577,6935,2908,4027,8486,4743,3743,4038,2335,1703,234,0,3990.10000200..000054913010290000020660,188390
Alabama,AL,2024,True,All students total,All students total,126535,49877,76658,636,282,354,1545,638,907,34508,11356,23152,9016,3622,5394,112,56,56,73772,31150,42622,5831,2315,3516,388,142,246,727,316,411,205,0,0160613000511036450000150181605017.000000000020000,125972
Alaska,AK,2024,False,Undergraduate total,Undergraduate,35029,12866,22163,3739,1093,2646,1865,647,1218,1207,453,754,3448,1159,2289,339,105,234,16164,6112,10052,3102,1010,2092,4673,2097,2576,492,190,302,568,0,214029928270.,33951
Alaska,AK,2024,True,All students total,All students total,1513,926,587,378,200,178,74,20,54,44,17,27,80,46,34,21,9,12,592,422,170,102,56,46,222,156,66,0,0,0,0,0,000,1513
American Samoa,AS,2024,False,Undergraduate total,Undergraduate,1401,436,965,0,0,0,24,13,11,0,0,0,1,0,1,1231,379,852,1,1,0,0,0,0,5,2,3,139,41,98,0,0,0,1401
Arizona,AZ,2024,False,Undergraduate total,Undergraduate,660186,252370,407816,12603,3895,8708,25577,11436,14141,80824,24920,55904,160079,59013,101066,2539,931,1608,269838,106930,162908,29268,10880,18388,68131,27073,41058,11327,7292,4035,17134,837,4464318609269122565311001172321680409110119026027838137008.1100070508469000.11,629727
Arizona,AZ,2024,True,All students total,All students total,138431,64396,74035,5674,1985,3689,3816,1855,1961,8308,4096,4212,56139,23596,32543,491,271,220,48646,25229,23417,5909,2790,3119,8617,4158,4459,831,416,415,1514,188,0...00103000.34.14430.1447016715110.0000000000150..0.000047400000030.00.,124639
Arkansas,AR,2024,False,Undergraduate total,Undergraduate,103673,42908,60765,786,308,478,2221,961,1260,15227,5716,9511,9086,3885,5201,153,70,83,66016,27447,38569,5325,2132,3193,1612,719,893,3247,1670,1577,215,0,1301000010160000301000.0190003500,102483
Arkansas,AR,2024,True,All students total,All students total,63503,23347,40156,680,271,409,913,385,528,12210,3467,8743,6880,2621,4259,189,83,106,39094,15107,23987,2083,776,1307,1049,459,590,405,178,227,164,10,00000000.0.000000001920053000662500000021130000000000,58742
California,CA,2024,False,Undergraduate total,Undergraduate,1538526,683149,855377,4419,1827,2592,239833,114116,125717,86375,36130,50245,614940,248713,366227,5569,2516,3053,347815,159172,188643,76513,33882,42631,107653,57643,50010,55409,29150,26259,58574,13202,00372.4112180090.001475.1476106719752615129915282783360514373163239236513721826100655534873191548997700120.074001079556009482.00.6338471083098900.013122000.3.480054700450145306540035520..101.0023000011421548125832894..3281129.531950113300.0529..55017.7195300434782028.07440002017143300000776000304359006550.1001624477000000.0000031209.005800028..000.000.2191400..240..001009.1,1407254
California,CA,2024,True,All students total,All students total,1793352,814248,979104,6981,3095,3886,229544,107429,122115,114417,49455,64962,840106,360397,479709,7893,3845,4048,414379,201776,212603,83156,37654,45502,81205,42628,38577,15671,7969,7702,36980,10214,524318...14450177002974810.4613720100000643.91210334370145700850.108291187654.18660301815498953992150001861265.56110923670184.248049702822550100029106029851116648669401720000111186190274615282.047610664592173000003341663275.39566787248.0295504971153920444383564.2575185128763129450.0804017612..442.15571607943483.0.0545001160.0..0076000.020704102364034.0000.004000400...1.00.00005700000012.400.0.3001.101000000.0.00.000006600000100000000195214.340000.100333.000012260000200100.0000500.0490000000.0050..0000360003.0000000.20.080006300.000000.2010.0140000000,1686103
Colorado,CO,2024,False,Undergraduate total,Undergraduate,374915,165532,209383,3687,1451,2236,14111,6443,7668,25493,9918,15575,73713,29202,44511,1023,458,565,199705,92814,106891,18427,8328,10099,32291,13487,18804,6465,3431,3034,23290,799,1145073424821064.4049332129901811033636.108060030172..00508100850,342054
Colorado,CO,2024,True,All students total,All students total,51055,21941,29114,740,389,351,1388,643,745,9456,3186,6270,13941,6296,7645,238,106,132,18905,8881,10024,2415,789,1626,2622,1037,1585,1350,614,736,125,0,001700000000000000.0.2820000004800090000..0,50391
Connecticut,CT,2024,False,Undergraduate total,Undergraduate,159812,63484,96328,590,188,402,9787,4525,5262,24217,8100,16117,27644,10287,17357,205,78,127,79846,32470,47376,7170,2972,4198,5200,2123,3077,5153,2741,2412,118,166,.00001134.060.1122.0.1640.012600..,137694
Connecticut,CT,2024,True,All students total,All students total,63440,27197,36243,215,112,103,2596,1189,1407,11770,4707,7063,18536,7354,11182,163,104,59,24398,11101,13297,2350,966,1384,2841,1495,1346,571,169,402,12,0,0000120000000000000..00,63230
Delaware,DE,2024,False,Undergraduate total,Undergraduate,57252,21585,35667,156,54,102,2294,986,1308,13311,4515,8796,7737,2726,5011,62,21,41,27230,10483,16747,2817,1049,1768,1633,724,909,2012,1027,985,690,0,54922849116,56562
Delaware,DE,2024,True,All students total,All students total,2512,1004,1508,5,1,4,33,10,23,1055,407,648,344,145,199,13,10,3,929,389,540,127,39,88,5,2,3,1,1,0,0,0,000000000,2512
District of Columbia,DC,2024,False,Undergraduate total,Undergraduate,67581,23552,44029,274,74,200,4379,1528,2851,17938,4861,13077,8493,2884,5609,121,37,84,24216,9272,14944,3196,1018,2178,4948,2029,2919,4016,1849,2167,1034,0,018.14.22401731.6230,48977
District of Columbia,DC,2024,True,All students total,All students total,1243,230,1013,2,0,2,4,1,3,1114,201,913,66,10,56,0,0,0,32,12,20,10,3,7,14,2,12,1,1,0,0,0,00000,1243
Florida,FL,2024,False,Undergraduate total,Undergraduate,1143018,479805,663213,2565,1139,1426,43391,19865,23526,183496,66952,116544,362319,149060,213259,1762,772,990,413989,182060,231929,43758,18256,25502,46323,20217,26106,45415,21484,23931,2202,67,08000010.002000821603002200201400006.00001200000.00000000000.000000323747151001000000.0000230.000.46403005006019000050000.1..0000000000.0000000355,988477
Florida,FL,2024,True,All students total,All students total,151401,56880,94521,754,186,568,1848,877,971,47304,11426,35878,50310,23375,26935,547,151,396,43426,17708,25718,3109,1637,1472,2296,513,1783,1807,1007,800,437,10,0000.6012.00000000000000000000000000000000000.0000.00000000.0000000000000241.001100000000000000000000112000000000000.000000200002704001200000000000000000.00000000000000000000000000000.0000000,144037
Georgia,GA,2024,False,Undergraduate total,Undergraduate,403993,162629,241364,1148,418,730,29484,14598,14886,116079,40430,75649,44625,17284,27341,567,190,377,172732,73160,99572,15336,6102,9234,12164,4774,7390,11858,5673,6185,1524,54,00150024.0110000000030000..00000720.4.0380420031600002100002660802353597200200000,389064
Georgia,GA,2024,True,All students total,All students total,188862,69374,119488,471,223,248,6901,3162,3739,78886,25000,53886,23908,9197,14711,192,80,112,65713,26786,38927,7280,2595,4685,3121,1289,1832,2390,1042,1348,26,0,000000000000.000000000000017000030.000.0000000.000000000000000000010000,185833
Guam,GU,2024,False,Undergraduate total,Undergraduate,4825,2064,2761,6,6,0,2128,971,1157,27,11,16,31,18,13,2315,902,1413,99,55,44,88,44,44,94,51,43,37,6,31,0,0,.00,2987
Hawaii,HI,2024,False,Undergraduate total,Undergraduate,37508,14149,23359,87,23,64,9530,3834,5696,730,333,397,5382,1875,3507,1841,666,1175,6636,2383,4253,9431,3522,5909,942,348,594,2929,1165,1764,525,8,04323081351160.0,36956
Hawaii,HI,2024,True,All students total,All students total,33795,12637,21158,39,18,21,11044,4331,6713,550,287,263,4947,1696,3251,1996,612,1384,3773,1462,2311,10077,3688,6389,439,207,232,930,336,594,621,0,08412859214884800000,33174
Idaho,ID,2024,False,Undergraduate total,Undergraduate,142358,62650,79708,832,350,482,2469,1005,1464,3715,2131,1584,23043,9960,13083,721,286,435,91372,39372,52000,4626,2066,2560,12585,5866,6719,2995,1614,1381,27,0,0095.000.049,125053
Idaho,ID,2024,True,All students total,All students total,34277,13656,20621,257,96,161,520,215,305,379,149,230,5173,1956,3217,84,39,45,23711,9416,14295,1434,586,848,2560,1139,1421,159,60,99,44,13,.160000000003000000000,33518
Illinois,IL,2024,False,Undergraduate total,Undergraduate,339722,138903,200819,865,305,560,30133,14421,15712,49371,16472,32899,67805,25914,41891,485,184,301,146582,60388,86194,11343,4756,6587,14278,5629,8649,18860,10834,8026,1835,52,000010.00.3200.00.0000079.5018.260037034.000275032004901840003.003.00022110364500000000880435,309492
Illinois,IL,2024,True,All students total,All students total,464138,206046,258092,1287,637,650,25107,11592,13515,64267,23530,40737,130414,55014,75400,799,382,417,204657,96648,108009,14740,6439,8301,17497,9441,8056,5370,2363,3007,2560,1497,395.0000031.16.25.15.1400726191000000055091055713905384750219225315900006808060301011850813165.196001014700105000..00000600000001000000000000000000000000000000000000002600110.00,418499
Indiana,IN,2024,False,Undergraduate total,Undergraduate,337143,152947,184196,764,335,429,18242,9465,8777,33119,12737,20382,37443,16293,21150,423,212,211,208427,93895,114532,14966,6692,8274,10475,4934,5541,13284,8384,4900,1428,720,11301081321410501000.71511001061217631225187.0000000.41.0210300604101000561181000,318897
Indiana,IN,2024,True,All students total,All students total,191560,87678,103882,1893,1027,866,5511,2611,2900,24016,9213,14803,5420,2468,2952,548,263,285,127139,58612,68527,8414,3647,4767,18601,9836,8765,18,1,17,3085,0,000003076000000000000.002000001000002000.20000000,187858
Iowa,IA,2024,False,Undergraduate total,Undergraduate,101215,47920,53295,270,120,150,3431,1682,1749,5156,2752,2404,8186,3714,4472,170,93,77,71838,33059,38779,3423,1608,1815,4927,2580,2347,3814,2312,1502,1000,112,0078004902100230.25800.2400000.20.0..59300,59608
Iowa,IA,2024,True,All students total,All students total,121414,51985,69429,581,262,319,3396,1545,1851,8488,3586,4902,11629,4663,6966,167,67,100,83361,35168,48193,3695,1485,2210,8265,4158,4107,1832,1051,781,310,36,000.00042900030480000..10000.000.0000.000,112528
Kansas,KS,2024,False,Undergraduate total,Undergraduate,104380,47275,57105,1802,759,1043,3665,1713,1952,5919,3084,2835,12014,5143,6871,154,79,75,63552,28183,35369,4804,2146,2658,7735,3555,4180,4735,2613,2122,293,44,5000.0201207.01121000.0..1043400205...0,84802
Kansas,KS,2024,True,All students total,All students total,114997,50956,64041,1127,500,627,3439,1546,1893,9750,4774,4976,18221,7648,10573,467,219,248,68946,30233,38713,5222,2280,2942,5322,2419,2903,2503,1337,1166,724,68,1181762731..00000547.311490..3000320022000.00000000000,103702
Kentucky,KY,2024,False,Undergraduate total,Undergraduate,158321,61968,96353,384,145,239,4107,1690,2417,15240,6159,9081,8826,3495,5331,168,75,93,112483,43467,69016,6159,2309,3850,7834,2873,4961,3120,1755,1365,400,285,005210614101500150190000930016900.0000600.013100,147487
Kentucky,KY,2024,True,All students total,All students total,113853,45692,68161,267,111,156,2145,916,1229,11162,3906,7256,7561,2975,4586,131,51,80,84866,34344,50522,4494,1635,2859,3201,1745,1456,26,9,17,2105,0,3708131601330180112570601166892250560000386209300000000030000000000000,111748
Louisiana,LA,2024,False,Undergraduate total,Undergraduate,163186,64797,98389,891,327,564,4724,2151,2573,44575,14819,29756,11196,4639,6557,120,60,60,84863,35356,49507,5496,2053,3443,7396,3336,4060,3925,2056,1869,54,0,01000000000070013000000911.0.2020,162019
Louisiana,LA,2024,True,All students total,All students total,108194,35891,72303,639,231,408,1621,623,998,49289,13309,35980,6702,2297,4405,229,69,160,42903,16917,25986,3036,1043,1993,3072,1096,1976,703,306,397,0,0,000000000.0.000000000000.0000000000000000000000.0000000000000000000000000000,102791
Maine,ME,2024,False,Undergraduate total,Undergraduate,62192,23756,38436,464,149,315,2104,810,1294,3104,1337,1767,3520,1367,2153,64,18,46,45271,17041,28230,2590,922,1668,3541,1320,2221,1534,792,742,1008,401,04715000.7638257046415410136.22912,53570
Maine,ME,2024,True,All students total,All students total,27789,11637,16152,210,94,116,407,145,262,1634,779,855,1124,504,620,26,6,20,21242,8697,12545,844,349,495,2019,919,1100,283,144,139,364,0,10067699100025127200,27425
Marshall Islands,MH,2024,False,Undergraduate total,Undergraduate,1450,657,793,0,0,0,9,4,5,0,0,0,1,0,1,1438,651,787,2,2,0,0,0,0,0,0,0,0,0,0,0,0,.,0
Maryland,MD,2024,False,Undergraduate total,Undergraduate,213407,106447,106960,693,363,330,20026,10694,9332,56985,24811,32174,27741,14567,13174,801,442,359,73601,39116,34485,10318,4999,5319,15697,7832,7865,7545,3623,3922,7339,496,214..00103.0352566639835313.00400.0201080171355600012,190225
Maryland,MD,2024,True,All students total,All students total,159163,63248,95915,425,156,269,10147,4665,5482,50500,18164,32336,20927,8417,12510,208,86,122,56167,23266,32901,7771,3077,4694,5954,2580,3374,7064,2837,4227,2698,180,1800002601505100011522490000440230014037012300.0000000000,156187
Massachusetts,MA,2024,False,Undergraduate total,Undergraduate,301088,132824,168264,379,152,227,33827,14859,18968,24247,9759,14488,37688,14901,22787,199,95,104,143130,64698,78432,12944,5503,7441,18896,8004,10892,29778,14853,14925,1962,984,006500490143131849000160.01.032307057.1303360000390..1423.190.0.07009.10955119790035841902.031521600.63111673090.00,256427
Massachusetts,MA,2024,True,All students total,All students total,107537,39436,68101,280,110,170,6078,2442,3636,16206,5886,10320,25676,8269,17407,107,34,73,44763,17070,27693,3715,1308,2407,8659,3461,5198,2053,856,1197,2113,30,003713301291420.0.97444401560257110112.613400840187000.0000000084000000000000270,104960
Michigan,MI,2024,False,Undergraduate total,Undergraduate,312757,139422,173335,1810,648,1162,19165,9104,10061,29901,11387,18514,21700,9126,12574,252,128,124,198188,88184,110004,12527,5350,7177,15940,7602,8338,13274,7893,5381,1580,209,02704230.052100238.0070050019800.0131610.01202782137.000000000.714000030,290745
Michigan,MI,2024,True,All students total,All students total,211752,87787,123965,1533,612,921,6770,3329,3441,43204,14865,28339,17390,7059,10331,238,116,122,117229,50061,67168,9216,3631,5585,12798,6509,6289,3374,1605,1769,3171,0,.00000000000.00013733000183320480100183324300100042000000.0.001.0200.0000.0000001010000.00000.00000330000..00.00,202222
Micronesia,FM,2024,False,Undergraduate total,Undergraduate,2437,937,1500,0,0,0,4,1,3,1,0,1,0,0,0,2429,935,1494,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,2437
Minnesota,MN,2024,False,Undergraduate total,Undergraduate,231209,81050,150159,1655,538,1117,13416,5254,8162,34230,8633,25597,19134,5816,13318,379,121,258,134807,49508,85299,9005,3262,5743,11169,4001,7168,7414,3917,3497,2825,236,5900.240140.00445918606213551930.691267000002603554033.50340.15.400,173395
Minnesota,MN,2024,True,All students total,All students total,148289,62381,85908,1741,626,1115,9726,4141,5585,23085,9539,13546,12799,5038,7761,88,33,55,85167,35842,49325,6502,2531,3971,7482,3843,3639,1699,788,911,2304,364,..9090.4716614860749133069.3340055642..891205340236810750000.0500,127213
Mississippi,MS,2024,False,Undergraduate total,Undergraduate,81483,33729,47754,370,157,213,1239,580,659,24918,8867,16051,3194,1407,1787,73,32,41,47044,20466,26578,1919,795,1124,1222,560,662,1504,865,639,46,0,00000000000.0000046,80920
Mississippi,MS,2024,True,All students total,All students total,92785,34263,58522,583,210,373,970,380,590,38706,13266,25440,3264,1316,1948,60,20,40,43793,16916,26877,2317,901,1416,3001,1201,1800,91,53,38,768,0,000.1780015600330.03700310000000000000000,86294
Missouri,MO,2024,False,Undergraduate total,Undergraduate,250318,106275,144043,1216,507,709,9411,4106,5305,29226,11103,18123,17827,7459,10368,469,236,233,162862,69344,93518,10995,4532,6463,11090,4967,6123,7222,4021,3201,1705,120,0180000251715700000.000.00.000020.121826017200660.0.530372025.32.121052000.050000,209818
Missouri,MO,2024,True,All students total,All students total,72414,27947,44467,361,150,211,1292,497,795,6982,2417,4565,5613,2237,3376,163,63,100,51759,19931,31828,3239,1280,1959,2324,1023,1301,681,349,332,241,110,000500000000.221500067330140.000000.000000000000.000000000000000000000,69022
Montana,MT,2024,False,Undergraduate total,Undergraduate,39887,18535,21352,2695,969,1726,436,182,254,325,220,105,2299,1024,1275,56,27,29,29768,14098,15670,2798,1293,1505,1050,476,574,460,246,214,158,0,004001147.00..00,27746
Montana,MT,2024,True,All students total,All students total,12438,4654,7784,1692,551,1141,106,32,74,88,47,41,473,174,299,25,7,18,8600,3229,5371,528,194,334,850,388,462,76,32,44,149,0,001.200.00440190117,8926
Nebraska,NE,2024,False,Undergraduate total,Undergraduate,85123,37022,48101,1100,399,701,3019,1331,1688,5765,2567,3198,10979,4644,6335,133,57,76,54743,23536,31207,3342,1413,1929,3758,1812,1946,2284,1263,1021,332,200,379320080000..820..038100..0,71754
Nebraska,NE,2024,True,All students total,All students total,61618,27442,34176,612,239,373,1513,669,844,3968,1707,2261,10204,4260,5944,82,36,46,38619,17160,21459,2248,903,1345,3925,2209,1716,447,259,188,109,27,100121000090050000,61482
Nevada,NV,2024,False,Undergraduate total,Undergraduate,127671,53896,73775,788,325,463,13193,5704,7489,9898,3772,6126,44121,17375,26746,1064,469,595,41628,18737,22891,11440,4913,6527,4533,2149,2384,1006,452,554,439,53,331.61630..8030600,106900
Nevada,NV,2024,True,All students total,All students total,14502,3786,10716,127,31,96,950,345,605,2941,695,2246,5019,1258,3761,298,82,216,3068,719,2349,1175,220,955,907,433,474,17,3,14,266,6,000446000..00.000.003.0,11191
New Hampshire,NH,2024,False,Undergraduate total,Undergraduate,245880,94179,151701,1403,493,910,5962,2786,3176,39881,12286,27595,32874,12903,19971,839,292,547,131786,52652,79134,9501,3414,6087,21373,8366,13007,2261,987,1274,10924,2206,0121..1284214456.00470,226933
New Hampshire,NH,2024,True,All students total,All students total,25023,10193,14830,362,156,206,955,402,553,1048,429,619,2240,897,1343,82,32,50,17699,7075,10624,568,215,353,2048,981,1067,21,6,15,756,0,00000328341415791060000,24267
New Jersey,NJ,2024,False,Undergraduate total,Undergraduate,227799,108172,119627,357,171,186,28426,14425,14001,27411,10884,16527,52361,21235,31126,253,130,123,90993,47578,43415,6503,3038,3465,11953,5552,6401,9542,5159,4383,2445,9,025200000.0.068000.023400558926101808019150029180000000039000170000000000000,212906
New Jersey,NJ,2024,True,All students total,All students total,219764,92944,126820,498,219,279,15304,7501,7803,38534,13434,25100,62851,25558,37293,367,150,217,74987,33842,41145,6961,3001,3960,15338,7174,8164,4924,2065,2859,4868,158,01260109260103590000199060004290050000146400.14800300001340215.803100000.000000000000020000000.0000000000.00000,211533
New Mexico,NM,2024,False,Undergraduate total,Undergraduate,50489,20885,29604,4754,1749,3005,1163,523,640,1546,854,692,25451,9816,15635,97,50,47,13007,5763,7244,1645,718,927,1751,860,891,1075,552,523,86,281,00.0024958..03220,47077
New Mexico,NM,2024,True,All students total,All students total,82069,31421,50648,8499,2923,5576,1368,585,783,2235,974,1261,41452,15208,26244,204,107,97,21373,8655,12718,2356,963,1393,3528,1541,1987,1054,465,589,457,211,55029372..00131521021370001800.0103002000,74145
New York,NY,2024,False,Undergraduate total,Undergraduate,792710,347071,445639,2307,964,1343,95548,44592,50956,99140,36456,62684,146445,58210,88235,1008,438,570,320570,150781,169789,27041,11159,15882,48959,21348,27611,51692,23123,28569,9460,2585,0.1644.10100225100095249350049011522025212413811215226343159966611536452000080.8535007829.0.1350..0.02185001403200.0000136202647103198074.0.22.0554000000082...3.000250000.5001510800.0860.0.00058594000.0631.0000044.000000100000000000000000000000000.03851010000000000000000000,685840
New York,NY,2024,True,All students total,All students total,368602,159618,208984,1682,728,954,28512,13681,14831,64149,25427,38722,88171,37266,50905,530,239,291,144967,64060,80907,10393,4199,6194,22118,10483,11635,8080,3535,4545,8049,813,0004.0000000000340.0000378003977291493320841100..0.0.000000.2909000290.000000000.152139000.00.030.000000000000..00000000.00.0000.000000000.000000000000016.030029700170000000000.00000..00000000.013,309212
North Carolina,NC,2024,False,Undergraduate total,Undergraduate,284618,118979,165639,2104,776,1328,14597,6700,7897,63993,23751,40242,27213,10841,16372,247,101,146,146767,63557,83210,12702,5104,7598,9437,4260,5177,7558,3889,3669,880,35,00009017.00.3681020220001600000.00351492209.210413063000090150.240001200703144004000,267568
North Carolina,NC,2024,True,All students total,All students total,332729,131908,200821,4371,1460,2911,10433,4637,5796,73586,24207,49379,47023,18667,28356,649,333,316,167842,71094,96748,10619,4081,6538,14091,5866,8225,4115,1563,2552,24,283,0000000015000000000000000000000001000000000000000600000000283000.000.00000000000000000000.0,327697
